circRNA,disease,label,used
hsa_circ_0008717,breast neoplasms,1,True
hsa_circ_0005576,uterine cervical neoplasms,1,True
hsa_circ_0001725,stomach neoplasms,1,True
circular rna wdr77,cardiovascular diseases,1,True
hsa_circ_0099999,pancreatic neoplasms,1,True
hsa_circ_0057558,prostatic neoplasms,1,True
circrna_0016624,"osteoporosis, postmenopausal",1,True
circ-sox4,adenocarcinoma of lung,1,True
hsa_circ_0046599,"lupus erythematosus, systemic",1,True
hsa_circ_0005239,breast neoplasms,1,True
cttn5,heart failure,1,True
hsa_circ_0043256,"carcinoma, non-small-cell lung",1,True
hsa-circ-000595,aortic aneurysm,1,True
circ-abcb10,breast neoplasms,1,True
circmto1,urinary bladder neoplasms,1,True
circrna_26852,metabolism-related diseases,1,True
hsa_circ_0047688,glioma,1,True
hsa_circ_0092509,osteosarcoma,1,True
hsa_circ_0029067,facet joint osteoarthritis,1,True
hsa_circ_0068871,urinary bladder neoplasms,1,True
circrna_104433,stomach neoplasms,1,True
hsa_circ_0008792,osteosarcoma,1,True
hsa_circ_0071662,urinary bladder neoplasms,1,True
hsa_circ_0091581,"carcinoma, hepatocellular",1,True
hsa_circ_0001955,"carcinoma, hepatocellular",1,True
hsa_circrna_103503,"arthritis, rheumatoid",1,True
circ-rad23b,esophageal neoplasms,1,True
circtlk1,ischemic stroke,1,True
hsa_circ_0002453,triple negative breast neoplasms,1,True
circmylk,urinary bladder neoplasms,1,True
circitga7,colorectal neoplasms,1,True
circrbms3,stomach neoplasms,1,True
hsa_circrna_067209,moyamoya disease,1,True
cttn4,heart failure,1,True
hsa_circrna_091420,prostatic neoplasms,1,True
hsa_circ_0015756,hepatoblastoma,1,True
hsa_circ_0015278,"thyroid cancer, papillary",1,True
hsa_circ_0008305,"carcinoma, non-small-cell lung",1,True
hsa_circrna_104871,"arthritis, rheumatoid",1,True
circagfg1,uterine cervical neoplasms,1,True
hsa_circ_0137606,urinary bladder neoplasms,1,True
hsa_circ_0083357,coronary artery disease,1,True
hsa_circrna_101720,moyamoya disease,1,True
circ-cdc45,glioma,1,True
hsa_circ_0001859,"arthritis, rheumatoid",1,True
circ_katnal1,prostatic neoplasms,1,True
circ kmt2e,diabetic cataract,1,True
hsa_circ_0007788,"osteoporosis, postmenopausal",1,True
hsa_circ_0080210,intervertebral disc degeneration,1,True
circrpms1,nasopharyngeal carcinoma,1,True
hsa_circ_0060456,stomach neoplasms,1,True
hsa_circ_0073237,glioma,1,True
hsa_circ_000926,"carcinoma, renal cell",1,True
circrna_100290,"leukemia, myeloid, acute",1,True
hsa_circ_0072668,facet joint osteoarthritis,1,True
hsa_circ_0003171,primary great saphenous vein varicosities,1,True
hsa_circ_0001461,stomach neoplasms,1,True
hsa_circ_0001742,squamous cell carcinoma of head and neck,1,True
hsa_circ_0026388,diabetic retinopathy,1,True
circ-fam53b,ovarian neoplasms,1,True
circ-smad2,"carcinoma, hepatocellular",1,True
circ_cct4,"epilepsy, temporal lobe",1,True
hsa_circ_0041946,intervertebral disc degeneration,1,True
circbach2,"thyroid cancer, papillary",1,True
circr-284,carotid plaque rupture,1,True
circsept9,triple negative breast neoplasms,1,True
hsa_circ_052372,"liver cirrhosis, biliary",1,True
hsa_circ_0000515,uterine cervical neoplasms,1,True
circsema4b,intervertebral disc degeneration,1,True
circrna_003524,"arthritis, rheumatoid",1,True
hsa_circ_0000681,"tuberculosis, pulmonary",1,True
circrna_0001073,acne vulgaris,1,True
circrna_101368,"carcinoma, hepatocellular",1,True
hsa_circ_0000140,squamous cell carcinoma of head and neck,1,True
circ_drosha,"epilepsy, temporal lobe",1,True
hsa_circ_102485,"liver cirrhosis, biliary",1,True
hsa_circ_0093996,retinoblastoma,1,True
hsa_circ_0030045,tuberculosis,1,True
circnr3c1,urinary bladder neoplasms,1,True
ctfrc,urinary bladder neoplasms,1,True
circmmp9,glioblastoma,1,True
hsa_circ_0032970,coronary artery disease,1,True
hsa_circ_0000218,colorectal neoplasms,1,True
hsa_circ_0068087,"diabetes mellitus, type 2",1,True
hsa_circ_0034398,"lupus erythematosus, systemic",1,True
hsa_circ_0005267,primary great saphenous vein varicosities,1,True
circrhobtb3,stomach neoplasms,1,True
hsa_circ_0060467,uterine cervical neoplasms,1,True
hsa_circ_0001900,colorectal neoplasms,1,True
circslc8a1,urinary bladder neoplasms,1,True
circrhoc,ovarian neoplasms,1,True
hsa_circ_0137008,colorectal neoplasms,1,True
hsa_circ_0013255,liver cirrhosis,1,True
hsa_circ_0000378,primary great saphenous vein varicosities,1,True
hsa_circ_0018069,urinary bladder neoplasms,1,True
hsa_circ_0061868,glioma,1,True
hsa_circrna_104854,repeated implantation failure,1,True
hsa_circrna_086376,colorectal neoplasms,1,True
circadamts14,"carcinoma, hepatocellular",1,True
hsa_circ_0072309,breast neoplasms,1,True
circpicalm,urinary bladder neoplasms,1,True
circ-prmt5,urinary bladder neoplasms,1,True
hsa_circ_0082081,coronary artery disease,1,True
hsa_circ_0001187,"leukemia, myeloid, acute",1,True
hsa_circ_0014359,glioma,1,True
hsa_circrna_0054633,"diabetes, gestational",1,True
circ-anapc7,"leukemia, myeloid, acute",1,True
hsa_circ_0126991,essential hypertension,1,True
circrna_036186,squamous cell carcinoma of head and neck,1,True
hsa_circ_0006215,pancreatic neoplasms,1,True
hsa_circ_0003391,"osteoporosis, postmenopausal",1,True
circrna_0046366,hepatocellular steatosis,1,True
circhla-c,lupus nephritis,1,True
hsa_circ_407176,"liver cirrhosis, biliary",1,True
hsa_circ_0005273,"thyroid cancer, papillary",1,True
hsa_circ_0000073,breast neoplasms,1,True
hsa_circ_0006323,coronary artery disease,1,True
hsa_circ_0005230,breast neoplasms,1,True
hsa_circrna_101981,prostatic neoplasms,1,True
hsa_circ_0084043,melanoma,1,True
hsa_circ_000367,fatty liver,1,True
hsa_circrna_101408,"thyroid cancer, papillary",1,True
circ-znf652,"carcinoma, renal cell",1,True
hsa_circ_0001361,urinary bladder neoplasms,1,True
hsa_circ_0001038,uterine cervical neoplasms,1,True
hsa_circ_092516,"arthritis, rheumatoid",1,True
circ_ubqln1,"epilepsy, temporal lobe",1,True
hsa_circ_0037655,glioma,1,True
circrna.2837,sciatica,1,True
circ_101222,pre-eclampsia,1,True
circhipk3,bladder urothelial carcinoma,1,True
circrna_104670,intervertebral disc degeneration,1,True
hsa_circ_0007059,lung neoplasms,1,True
hsa_circ_0005027,hypopharyngeal neoplasms,1,True
hsa_circ_0034642,glioma,1,True
circrna_100284,liver neoplasms,1,True
hsa_circ_0000479,"lupus erythematosus, systemic",1,True
hsa-circ-0005870,hypertension,1,True
hsa_circ_0005230,cholangiocarcinoma,1,True
circrna_104718,"carcinoma, hepatocellular",1,True
hsa-circrna5974-1,coronary artery disease,1,True
circ-cdyl,colonic neoplasms,1,True
circrna_000543,nasopharyngeal carcinoma,1,True
circrna_000203,cardiac fibrosis,1,True
hsa_circ_0044520,squamous cell carcinoma of head and neck,1,True
hsa_circ_0005402,multiple sclerosis,1,True
circ-tcf4.85,"carcinoma, hepatocellular",1,True
circrna.20159,"diabetes, gestational",1,True
circrna_101505,"carcinoma, hepatocellular",1,True
circrna7231,herpes simplex,1,True
hsa_circ_0014243,hypertension,1,True
circrna_11058,rheumatic heart disease,1,True
hsa_circ_0070934,cutaneous squamous cell carcinoma,1,True
circsmo742,glioma,1,True
hsa_circ_0002185,squamous cell carcinoma of head and neck,1,True
bcrc-3,urinary bladder neoplasms,1,True
circular rna wdr77,ischemic stroke,0,True
hsa_circ_0044235,"arthritis, rheumatoid",1,True
circ-adam9,pancreatic neoplasms,1,True
hsa_circ_0071896,facet joint osteoarthritis,1,True
circcct3,colorectal neoplasms,1,True
circrna-0044073,atherosclerosis,1,True
hsa_circ_0079993,colorectal neoplasms,1,True
hsa_circ_0006168,esophageal neoplasms,1,True
circrna_0005941,acne vulgaris,1,True
hsa_circrna_103410,diabetic retinopathy,1,True
cirs-6,urinary bladder neoplasms,1,True
hsa_circ_0001982,breast neoplasms,1,True
hsa_circ_0000654,esophageal squamous cell carcinoma,1,True
hsa_circ_0000615,myocardial infarction,1,True
hsa_circ_0046701,glioma,1,True
hsa_circ_0002577,endometrial neoplasms,1,True
hsa_circ_0045714,osteoarthritis,1,True
hsa_circ_100338,"carcinoma, hepatocellular",1,True
hsa_circ_0005127,facet joint osteoarthritis,1,True
hsa_circ_0016760,"carcinoma, non-small-cell lung",1,True
hsa_circ_0005836,active pulmonary tuberculosis,1,True
circrna.1030,"diabetes, gestational",1,True
circkif4a,glioma,1,True
hsa_circ_0089810,primary great saphenous vein varicosities,1,True
circrna-cer,breast neoplasms,1,True
circ-zkscan1,urinary bladder neoplasms,1,True
hsa_circ_100242,urinary bladder neoplasms,1,True
hsa_circ_0008797,"tuberculosis, pulmonary",1,True
circpdss1,stomach neoplasms,1,True
hsa_circ_0011780,"carcinoma, non-small-cell lung",1,True
circ_arf3,osteosarcoma,1,True
hsa_circ_0008309,squamous cell carcinoma of head and neck,1,True
hsa_circ_0032683,"arthritis, rheumatoid",1,True
hsa_circ_0102049,osteosarcoma,1,True
hsa_circ_0001073,urinary bladder neoplasms,1,True
hsa_circ_0004458,"thyroid cancer, papillary",1,True
hsa_circ_002082,fatty liver,1,True
circpvt1,colorectal neoplasms,1,True
hsa_circ_0025033,"thyroid cancer, papillary",1,True
hsa_circ_0005100,colorectal neoplasms,1,True
hsa_circ_0056836,"carcinoma, hepatocellular",1,True
hsa_circ_0054211,multiple system atrophy,1,True
